trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'a': 0.0005, 'e': 0.2544884060054482}",20,0,5.610272923228789,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
120,False,"{'a': 0.0005, 'e': 0.2515785530597569}",25,0,24.684604350256965,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.0005, 'e': 0.24870197174438646}",20,0,-6.826497421257781,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
122,False,"{'a': 0.0005, 'e': 0.24585828162726522}",25,0,-37.682587734166894,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
123,False,"{'a': 0.0005, 'e': 0.2430471066262305}",30,0,-28.03411617464301,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",1
124,False,"{'a': 0.0005, 'e': 0.24026807495929106}",25,5,19.402149695862086,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.0005, 'e': 0.23752081909545852}",30,15,-73.18800418694364,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 1}",1
126,False,"{'a': 0.0005, 'e': 0.2348049757061407}",20,13,12.85750233642015,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.0005, 'e': 0.23212018561709102}",25,0,25.871633803017136,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.0005, 'e': 0.22946609376090707}",30,18,7.046521557238166,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.0005, 'e': 0.22684234913007248}",25,0,23.364510585692077,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
130,False,"{'a': 0.0005, 'e': 0.2242486047305357}",35,21,-13.544533608639142,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.0005, 'e': 0.2216845175358195}",30,0,30.523788851612537,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.0005, 'e': 0.21914974844165516}",25,0,-25.860368760593303,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.0005, 'e': 0.21664396222113555}",30,19,7.2769325204657065,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.0005, 'e': 0.2141668274803808}",20,6,15.152046832292541,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.0005, 'e': 0.21171801661471096}",20,2,28.559456691472228,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.0005, 'e': 0.20929720576531988}",30,0,4.318359773307495,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.0005, 'e': 0.20690407477644437}",30,15,4.5622063639627415,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
138,False,"{'a': 0.0005, 'e': 0.20453830715302315}",20,9,7.6935966785416445,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.0005, 'e': 0.2021995900188399}",20,0,-44.389964184400895,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
140,False,"{'a': 0.0005, 'e': 0.19988761407514485}",25,0,8.845300921266102,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.0005, 'e': 0.1976020735597498}",20,12,1.7658906309950104,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.0005, 'e': 0.19534266620659033}",30,9,-3.409975715526951,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
143,False,"{'a': 0.0005, 'e': 0.1931090932057509}",30,9,36.10647680544504,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.0005, 'e': 0.19090105916394667}",20,12,16.478329386085356,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.0005, 'e': 0.18871827206545738}",25,3,-43.01063159423239,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
146,False,"{'a': 0.0005, 'e': 0.18656044323350784}",20,5,6.553732111148193,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 0.0005, 'e': 0.18442728729208996}",20,8,2.049064219097614,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
148,False,"{'a': 0.0005, 'e': 0.18231852212822136}",25,18,12.07274587654755,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.0005, 'e': 0.18023386885463558}",25,20,8.177872477943566,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.0005, 'e': 0.17817305177289877}",20,10,19.957749942709803,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.0005, 'e': 0.17613579833694823}",20,7,9.348374872904726,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.0005, 'e': 0.17412183911704773}",20,0,-2.2747631465436022,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
153,False,"{'a': 0.0005, 'e': 0.17213090776415507}",20,2,26.72302389911897,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.0005, 'e': 0.17016274097469702}",20,9,20.625028979991246,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.0005, 'e': 0.16821707845574704}",20,2,9.19202273495598,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.0005, 'e': 0.16629366289060118}",25,6,8.654325292295507,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.0005, 'e': 0.16439223990474758}",25,0,-18.06894926158344,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
158,False,"{'a': 0.0005, 'e': 0.16251255803222497}",25,6,-6.6056136843303825,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.0005, 'e': 0.16065436868236607}",20,0,2.040945398503663,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
160,False,"{'a': 0.0005, 'e': 0.158817426106921}",25,0,-1.037314018004091,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
161,False,"{'a': 0.0005, 'e': 0.15700148736755684}",20,3,5.76445237036011,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
162,False,"{'a': 0.0005, 'e': 0.15520631230372853}",20,11,15.482146089079158,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.0005, 'e': 0.1534316635009174}",20,0,32.754532949642886,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.0005, 'e': 0.15167730625923267}",20,14,12.48825621751978,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.0005, 'e': 0.1499430085623722}",25,7,25.32178245864568,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.0005, 'e': 0.14822854104693775}",20,7,25.87425468337017,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.0005, 'e': 0.1465336769721016}",20,11,18.38053321049739,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.0005, 'e': 0.14485819218961954}",20,6,11.251192595523722,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.0005, 'e': 0.14320186511418706}",35,22,-18.454350502946788,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.0005, 'e': 0.14156447669413433}",20,0,28.543564291207005,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
